Postcode District,0_19,20_39,40_59,60_79,80plus,All Ages
BT1,,,,,,"2,410"
BT2,,,,,,"1,050"
BT3,,,,,,850
BT4,"5,910","7,030","6,990","4,600","1,440","25,970"
BT5,"9,220","10,960","10,470","6,720","2,140","39,510"
BT6,"7,050","9,600","8,290","4,710","1,570","31,220"
BT7,"4,320","9,900","4,210","2,180",550,"21,150"
BT8,"7,190","7,380","8,590","5,340","1,510","30,010"
BT9,"6,020","12,570","5,260","3,600","1,130","28,580"
BT10,"2,950","3,220","3,490","2,390",650,"12,700"
BT11,"6,830","7,130","6,930","5,110","1,440","27,430"
BT12,"8,100","9,260","6,860","3,960",900,"29,090"
BT13,"6,450","6,560","5,810","4,120","1,280","24,200"
BT14,"9,770","9,270","8,300","5,040","1,170","33,550"
BT15,"6,500","7,020","7,100","4,550","1,280","26,440"
BT16,"4,020","4,590","4,950","3,010",850,"17,410"
BT17,"10,450","9,560","8,270","4,790","1,010","34,070"
BT18,"3,130","2,980","3,580","3,080",840,"13,600"
BT19,"9,220","8,460","10,420","8,470","1,750","38,320"
BT20,"5,390","5,640","7,010","6,040","1,750","25,830"
BT21,"1,580","1,430","2,160","2,060",540,"7,760"
BT22,"5,480","4,850","6,310","5,010",890,"22,540"
BT23,"12,930","13,170","15,350","11,750","2,530","55,720"
BT24,"4,730","4,240","5,230","3,670",940,"18,820"
BT25,"4,330","3,690","4,600","2,550",600,"15,760"
BT26,"2,050","1,690","2,680","2,100",530,"9,040"
BT27,"5,210","5,510","5,920","4,680","1,160","22,480"
BT28,"11,720","12,230","11,690","7,390","1,720","44,750"
BT29,"4,390","3,710","4,020","2,050",360,"14,520"
BT30,"9,080","8,580","9,160","6,510","1,370","34,700"
BT31,"2,680","2,330","2,510","1,480",420,"9,430"
BT32,"6,860","6,440","7,360","4,660","1,150","26,460"
BT33,"2,680","2,440","2,840","2,410",630,"10,990"
BT34,"17,320","16,180","16,680","10,400","2,490","63,080"
BT35,"14,520","12,690","12,170","7,080","1,480","47,930"
BT36,"12,040","12,350","12,310","8,420","1,970","47,080"
BT37,"6,440","6,780","7,070","4,700","1,370","26,350"
BT38,"9,540","9,500","11,850","8,360","1,940","41,190"
BT39,"5,910","5,360","6,910","4,770","1,110","24,050"
BT40,"6,000","6,120","7,450","5,640","1,320","26,520"
BT41,"11,340","10,690","11,410","7,360","1,580","42,380"
BT42,"8,750","8,900","9,910","7,020","1,730","36,310"
BT43,"5,800","5,750","6,020","4,380","1,250","23,200"
BT44,"6,550","6,230","6,850","4,580","1,000","25,210"
BT45,"10,450","9,830","9,700","5,780","1,370","37,130"
BT46,"3,280","2,960","2,880","1,910",420,"11,440"
BT47,"16,480","15,670","17,140","10,100","2,080","61,460"
BT48,"17,050","16,380","15,760","9,840","1,710","60,730"
BT49,"5,840","5,820","6,720","4,310","1,000","23,680"
BT51,"6,680","5,810","7,610","5,310","1,130","26,540"
BT52,"4,470","4,560","4,440","3,340",940,"17,740"
BT53,"6,520","6,220","7,220","4,770","1,140","25,880"
BT54,"1,960","1,780","2,160","1,760",390,"8,050"
BT55,"1,530","2,440","1,890","1,860",500,"8,210"
BT56,"1,500","1,330","2,070","1,540",390,"6,820"
BT57,870,790,"1,120","1,150",250,"4,170"
BT60,"9,570","8,250","8,250","5,300","1,150","32,520"
BT61,"4,120","4,070","4,380","3,020",760,"16,350"
BT62,"9,190","9,180","8,690","5,590","1,270","33,930"
BT63,"5,610","5,650","5,690","3,960",900,"21,800"
BT64,,,,,,"2,430"
BT65,"2,620","2,320","1,990","1,090",130,"8,140"
BT66,"9,290","9,570","9,460","5,880","1,430","35,610"
BT67,"6,510","6,110","6,780","4,060",780,"24,240"
BT68,,,,,,990
BT69,710,680,690,410,110,"2,590"
BT70,"6,280","5,900","5,480","3,290",750,"21,700"
BT71,"12,560","11,810","11,050","6,330","1,410","43,160"
BT74,"4,460","4,190","4,750","3,290",860,"17,540"
BT75,950,930,980,680,160,"3,700"
BT76,,,,,,"2,030"
BT77,,,,,,"1,600"
BT78,"8,140","7,440","8,210","5,530","1,110","30,430"
BT79,"7,550","6,950","7,260","4,710","1,150","27,610"
BT80,"6,580","6,520","6,350","4,100",960,"24,510"
BT81,"1,960","1,970","2,120","1,420",390,"7,860"
BT82,"7,230","6,510","7,360","4,700",990,"26,800"
BT92,"4,800","4,070","4,430","3,150",740,"17,190"
BT93,"2,800","2,610","2,980","2,350",550,"11,280"
BT94,"4,270","3,670","4,440","3,140",630,"16,150"
Total,"485,060","487,960","497,640","331,850","79,130","1,881,640"
