"","WardCode","LGDName","BT_area"
"1","N08000101","Antrim and Newtownabbey","BT37"
"2","N08000102","Antrim and Newtownabbey","BT29"
"3","N08000103","Antrim and Newtownabbey","BT41"
"4","N08000104","Antrim and Newtownabbey","BT39"
"5","N08000105","Antrim and Newtownabbey","BT39"
"6","N08000106","Antrim and Newtownabbey","BT36"
"7","N08000107","Antrim and Newtownabbey","BT36"
"8","N08000108","Antrim and Newtownabbey","BT39"
"9","N08000109","Antrim and Newtownabbey","BT39"
"10","N08000110","Antrim and Newtownabbey","BT36"
"11","N08000111","Antrim and Newtownabbey","BT36"
"12","N08000112","Antrim and Newtownabbey","BT36"
"13","N08000114","Antrim and Newtownabbey","BT36"
"14","N08000115","Antrim and Newtownabbey","BT41"
"15","N08000116","Antrim and Newtownabbey","BT29"
"16","N08000117","Antrim and Newtownabbey","BT39"
"17","N08000118","Antrim and Newtownabbey","BT36"
"18","N08000119","Antrim and Newtownabbey","BT41"
"19","N08000120","Antrim and Newtownabbey","BT36"
"20","N08000121","Antrim and Newtownabbey","BT36"
"21","N08000122","Antrim and Newtownabbey","BT41"
"22","N08000124","Antrim and Newtownabbey","BT37"
"23","N08000125","Antrim and Newtownabbey","BT36"
"24","N08000126","Antrim and Newtownabbey","BT37"
"25","N08000127","Antrim and Newtownabbey","BT36"
"26","N08000128","Antrim and Newtownabbey","BT37"
"27","N08000129","Antrim and Newtownabbey","BT39"
"28","N08000130","Antrim and Newtownabbey","BT41"
"29","N08000131","Antrim and Newtownabbey","BT37"
"30","N08000132","Antrim and Newtownabbey","BT37"
"31","N08000133","Antrim and Newtownabbey","BT41"
"32","N08000134","Antrim and Newtownabbey","BT41"
"33","N08000135","Antrim and Newtownabbey","BT41"
"34","N08000136","Antrim and Newtownabbey","BT41"
"35","N08000137","Antrim and Newtownabbey","BT39"
"36","N08000138","Antrim and Newtownabbey","BT41"
"37","N08000139","Antrim and Newtownabbey","BT36"
"38","N08000140","Antrim and Newtownabbey","BT37"
"39","N08000201","Armagh City, Banbridge and Craigavon","BT67"
"40","N08000202","Armagh City, Banbridge and Craigavon","BT62"
"41","N08000203","Armagh City, Banbridge and Craigavon","BT32"
"42","N08000204","Armagh City, Banbridge and Craigavon","BT32"
"43","N08000205","Armagh City, Banbridge and Craigavon","BT32"
"44","N08000206","Armagh City, Banbridge and Craigavon","BT32"
"45","N08000207","Armagh City, Banbridge and Craigavon","BT71"
"46","N08000208","Armagh City, Banbridge and Craigavon","BT63"
"47","N08000209","Armagh City, Banbridge and Craigavon","BT65"
"48","N08000210","Armagh City, Banbridge and Craigavon","BT61"
"49","N08000211","Armagh City, Banbridge and Craigavon","BT62"
"50","N08000212","Armagh City, Banbridge and Craigavon","BT63"
"51","N08000213","Armagh City, Banbridge and Craigavon","BT60"
"52","N08000214","Armagh City, Banbridge and Craigavon","BT66"
"53","N08000215","Armagh City, Banbridge and Craigavon","BT66"
"54","N08000216","Armagh City, Banbridge and Craigavon","BT25"
"55","N08000217","Armagh City, Banbridge and Craigavon","BT63"
"56","N08000218","Armagh City, Banbridge and Craigavon","BT25"
"57","N08000219","Armagh City, Banbridge and Craigavon","BT60"
"58","N08000220","Armagh City, Banbridge and Craigavon","BT60"
"59","N08000221","Armagh City, Banbridge and Craigavon","BT63"
"60","N08000223","Armagh City, Banbridge and Craigavon","BT66"
"61","N08000224","Armagh City, Banbridge and Craigavon","BT66"
"62","N08000225","Armagh City, Banbridge and Craigavon","BT32"
"63","N08000226","Armagh City, Banbridge and Craigavon","BT61"
"64","N08000227","Armagh City, Banbridge and Craigavon","BT67"
"65","N08000228","Armagh City, Banbridge and Craigavon","BT62"
"66","N08000229","Armagh City, Banbridge and Craigavon","BT60"
"67","N08000230","Armagh City, Banbridge and Craigavon","BT66"
"68","N08000231","Armagh City, Banbridge and Craigavon","BT60"
"69","N08000232","Armagh City, Banbridge and Craigavon","BT67"
"70","N08000233","Armagh City, Banbridge and Craigavon","BT25"
"71","N08000234","Armagh City, Banbridge and Craigavon","BT32"
"72","N08000235","Armagh City, Banbridge and Craigavon","BT61"
"73","N08000236","Armagh City, Banbridge and Craigavon","BT35"
"74","N08000237","Armagh City, Banbridge and Craigavon","BT66"
"75","N08000238","Armagh City, Banbridge and Craigavon","BT62"
"76","N08000239","Armagh City, Banbridge and Craigavon","BT62"
"77","N08000240","Armagh City, Banbridge and Craigavon","BT61"
"78","N08000241","Armagh City, Banbridge and Craigavon","BT66"
"79","N08000301","Belfast","BT11"
"80","N08000302","Belfast","BT14"
"81","N08000303","Belfast","BT13"
"82","N08000304","Belfast","BT5"
"83","N08000305","Belfast","BT12"
"84","N08000306","Belfast","BT14"
"85","N08000307","Belfast","BT12"
"86","N08000308","Belfast","BT5"
